file,total_pages,pages_with_text,text_coverage_ratio,has_abstract_marker,has_toc_marker,has_references_marker,has_keywords_marker,lang_hint
hind_20Bencheikh.pdf,159,12,0.07547169811320754,True,True,True,True,fr
THESE_HAZIME.pdf,96,10,0.10416666666666667,True,True,True,False,fr
THESE_RYADY.pdf,97,10,0.10309278350515463,True,True,True,False,fr
THESE_MAALOUM.pdf,126,10,0.07936507936507936,True,True,True,False,fr
THESE_EL_20AARJI.pdf,187,12,0.06417112299465241,True,True,True,True,fr
THESE_LAKHRIOUTA.pdf,137,12,0.08759124087591241,True,True,True,True,fr
THESE_EL_20ANBARI.pdf,172,12,0.06976744186046512,True,True,True,True,fr
Ba_20Dicko_20Oumar.pdf,123,12,0.0975609756097561,True,True,True,True,fr
THESE_HALLAB.pdf,209,12,0.05741626794258373,False,True,True,True,fr
THESE_AMZIL.pdf,194,12,0.061855670103092786,True,True,True,True,fr
Rabii_20ENNIDA.pdf,153,12,0.0784313725490196,True,True,True,True,fr
THESE_HALIM.pdf,193,12,0.06217616580310881,True,True,True,True,fr
THESE_RAFIA.pdf,137,12,0.08759124087591241,True,True,True,True,fr
THESE_TOUHAMI.pdf,269,12,0.04460966542750929,True,True,True,True,fr
THESE_MOTAMID.pdf,318,12,0.03773584905660377,True,True,True,True,fr
Laila_20Hamri.pdf,231,10,0.04329004329004329,True,True,True,False,fr
THESE_REGRAGUI.pdf,120,10,0.08333333333333333,True,True,True,False,fr
THESE_AMJAHDI.pdf,179,12,0.0670391061452514,True,True,True,True,fr
THESE_BASRAOUI.pdf,251,9,0.035856573705179286,True,False,True,False,fr
THESE_HADIRI.pdf,178,12,0.06741573033707865,True,True,True,True,fr
THESE_DOUBLALI.pdf,236,12,0.05084745762711865,True,True,True,True,fr
THESE_TOUMI.pdf,90,12,0.13333333333333333,True,True,True,True,fr
THESE_ZINEDINE.pdf,162,12,0.07407407407407407,True,False,False,True,fr
THESE_BARAKAT.pdf,126,12,0.09523809523809523,True,True,True,False,fr
THESE_IBNLKHAYAT_20_20IDRISSI.pdf,129,11,0.08527131782945736,True,True,True,False,fr
THESE_RHAYOUR.pdf,170,11,0.06470588235294118,True,True,True,False,fr
THESE_BEN_20SLIMANE.pdf,195,12,0.06153846153846154,True,True,True,False,fr
THESE_BENDRISS_20AMRAOUI.pdf,265,12,0.045283018867924525,True,True,True,False,fr
THESE_RACHIQ.pdf,154,12,0.07792207792207792,False,True,True,False,fr
THESE_BENYAHIA_20TABIB.pdf,127,12,0.09448818897637795,False,True,True,False,fr
THESE_HAMMI.pdf,272,12,0.04411764705882353,True,True,False,False,fr
THESE_AMELLAL.pdf,142,11,0.07746478873239436,True,True,False,False,fr
THESE_AISSAM.pdf,182,12,0.06593406593406594,True,True,True,False,fr
THESE_BOUHBOUH.pdf,197,11,0.05583756345177665,True,False,False,True,fr
THESE_BENDADDA.pdf,169,12,0.07100591715976332,True,True,True,True,fr
Th_c3_a8se_20Bouaouda.pdf,342,12,0.03508771929824561,True,True,True,False,fr
THESE_ZERHOUNI.pdf,244,12,0.04918032786885246,True,True,True,False,fr
THESE_GAM.pdf,207,12,0.057971014492753624,False,True,True,False,fr
Th_c3_a8se_DOUDOU_1990.pdf,224,12,0.05357142857142857,False,True,False,False,fr
THESE_MAGHOUS.pdf,316,12,0.0379746835443038,True,True,True,True,fr
THESE_EL_20MANCOURI.pdf,139,10,0.07194244604316546,True,True,True,False,fr
THESE_ALLABOUCH.pdf,153,12,0.0784313725490196,True,True,False,True,fr
THESE_KHARRASSE.pdf,118,12,0.1016949152542373,True,True,True,True,fr
THESE_SIRRAJ_20EL_20HAK.pdf,84,12,0.14285714285714285,True,True,True,True,fr
THESE_SERBATI.pdf,198,9,0.045454545454545456,True,True,True,True,fr
THESE_EZ_20ZAHIDY.pdf,135,9,0.06666666666666667,True,False,True,False,fr
THESE_BELARBI.pdf,151,10,0.06622516556291391,True,True,True,True,fr
THESE_ERRADEY.pdf,175,12,0.06857142857142857,True,True,True,True,fr
THESE_MENDOUBI.pdf,127,12,0.09448818897637795,False,True,False,True,fr
THESE_URI.pdf,198,11,0.05555555555555555,True,True,True,True,fr
THESE_CHENANI.pdf,173,12,0.06936416184971098,True,True,True,True,fr
THESE_BARAKATE.pdf,148,11,0.07432432432432433,True,False,True,True,fr
THESE_EL_20HAOUSSI.pdf,202,10,0.04950495049504951,False,True,False,False,fr
THESE_AMRANI.pdf,103,12,0.11650485436893204,False,True,True,False,fr
THESE_HALLI.pdf,151,7,0.046357615894039736,True,True,True,True,fr
THESE_OUAKKA.pdf,142,12,0.08450704225352113,False,True,True,False,fr
THESE_EL_20OUGLI.pdf,88,12,0.13636363636363635,False,True,False,False,fr
THESE_SOSSE_20ALAOUI.pdf,125,12,0.096,False,True,True,False,fr
THESE_CHAMI.pdf,129,12,0.09302325581395349,True,True,False,False,fr
These_20Rahmani_20Abdelhai.pdf,138,12,0.08695652173913043,True,True,True,False,fr
revelec.pdf,74,12,0.16216216216216217,True,True,True,False,fr
THESE_BAKIZ_20BAHCINE.pdf,157,12,0.07643312101910828,False,True,True,False,fr
THESE_ABDALLAOUI.pdf,209,12,0.05741626794258373,True,True,False,False,fr
THESE_BAZZI.pdf,0,0,0.0,False,False,False,False,unknown
THESE_EL_20ABIDI.pdf,146,12,0.0821917808219178,True,True,True,False,fr
THESE_SENHAJI.pdf,126,12,0.09523809523809523,True,True,True,False,fr
THESE_EL_20HAMMAMI.pdf,123,12,0.0975609756097561,True,True,False,False,fr
THESE_BOUKHATTEM.pdf,151,12,0.07947019867549669,True,True,True,False,fr
THESE_NOUREDDINE.pdf,340,12,0.03529411764705882,False,True,True,False,fr
THESE_BERETE.pdf,159,12,0.07547169811320754,False,True,False,False,fr
THESE_BERRADA.pdf,149,12,0.08053691275167785,False,False,False,False,fr
THESE_SLAOUI.pdf,178,12,0.06741573033707865,False,False,False,False,fr
THESE_ATEILAH.pdf,112,12,0.10714285714285714,True,True,True,True,fr
THESE_ERRAHMOUNI.pdf,183,10,0.0546448087431694,False,False,False,False,fr
THESE_BENABDELLAH.pdf,112,12,0.10714285714285714,True,True,True,False,fr
THESE_LAMRANI_20ALAOUI.pdf,156,12,0.07692307692307693,False,True,False,False,fr
THESE_YAZOUGH.pdf,106,12,0.11320754716981132,True,True,True,False,fr
THESE_LABYAD.pdf,128,12,0.09375,False,False,False,False,fr
THESE_EL_20ADILI.pdf,78,12,0.15384615384615385,True,False,True,False,fr
THESE_BARAOU.pdf,101,12,0.1188118811881188,True,True,True,False,fr
THESE_BESRI.pdf,174,12,0.06896551724137931,True,True,True,False,fr
THESE_EZZIANI.pdf,158,12,0.0759493670886076,True,True,True,False,fr
THESE_KHABBACHE.pdf,176,12,0.06818181818181818,True,False,True,False,fr
THESE_ER-RAJI.pdf,138,12,0.08695652173913043,True,True,True,False,fr
THESE_RACHDI.pdf,110,12,0.10909090909090909,True,True,True,False,fr
THESE_CHAHBOUNI.pdf,122,12,0.09836065573770492,True,True,True,False,fr
THESE_HAMMAS.pdf,138,12,0.08695652173913043,True,True,True,False,fr
THESE_HIDA.pdf,193,12,0.06217616580310881,True,True,False,False,fr
THESE_LAKJIRI.pdf,157,12,0.07643312101910828,True,True,True,False,fr
THESE_JAAOUANE.pdf,130,12,0.09230769230769231,True,True,True,False,fr
THESE_BENSBAA.pdf,102,12,0.11764705882352941,False,True,True,False,fr
THESE_DEBBARH.pdf,202,12,0.0594059405940594,True,True,True,False,fr
THESE_ANDICH.pdf,182,12,0.06593406593406594,False,False,False,False,fr
THESE_MOUJAHID.pdf,197,12,0.06091370558375635,False,False,False,False,fr
THESE_CHETOUANI.pdf,107,12,0.11214953271028037,False,False,False,False,fr
THESE_BENSALAH.pdf,178,12,0.06741573033707865,True,True,True,False,fr
THESE_EL_20IDRISSI.pdf,142,12,0.08450704225352113,True,True,True,False,fr
THESE_SQALLI_20HOUSSAINI.pdf,184,12,0.06521739130434782,True,True,True,False,fr
THESE_MNINOUCH.pdf,190,12,0.06315789473684211,True,True,True,False,fr
THESE_BOUTKHIL.pdf,294,12,0.04081632653061224,True,True,True,False,fr
